"source.ip: Descending","dest.ip: Descending","dest.port: Descending",Count
"172.30.20.40","172.0.1.237",54790,6
"172.30.20.40","172.0.1.237",54800,5
"172.30.20.40","172.0.1.237",54828,6
"172.30.20.40","172.0.1.237",54872,5
"172.30.20.40","172.0.1.237",54874,5
"172.30.20.40","172.0.1.237",54895,6
"172.30.20.40","172.0.1.237",54910,5
"172.30.20.40","172.0.1.237",54927,5
"172.30.20.40","172.0.1.237",54930,4
"172.30.20.40","172.0.1.237",54945,5
"172.30.20.40","172.0.1.237",54973,5
"172.30.20.40","172.0.1.237",54977,5
"172.30.20.40","172.0.1.237",54989,4
"172.30.20.40","172.0.1.237",55064,6
"172.30.20.40","172.0.1.237",55079,5
"172.30.20.40","172.0.1.237",55131,4
"172.30.20.40","172.0.1.237",55143,4
"172.30.20.40","172.0.1.237",55172,4
"172.30.20.40","172.0.1.237",55210,6
"172.30.20.40","172.0.1.237",55222,6
"172.30.20.40","172.0.1.237",55236,6
"172.30.20.40","172.0.1.237",55258,5
"172.30.20.40","172.0.1.237",55286,6
"172.30.20.40","172.0.1.237",55297,4
"172.30.20.40","172.0.1.237",55305,6
"172.30.20.40","172.0.1.237",55309,4
"172.30.20.40","172.0.1.237",55324,5
"172.30.20.40","172.0.1.237",55333,6
"172.30.20.40","172.0.1.237",55349,5
"172.30.20.40","172.0.1.237",55380,5
"172.30.20.40","172.0.1.237",55452,5
"172.30.20.40","172.0.1.237",55615,4
"172.30.20.40","172.0.3.54",53324,5
"172.30.20.40","172.0.3.54",53592,6
"172.30.20.40","172.0.3.54",53906,51
"172.30.20.40","172.0.3.54",54070,40
"172.30.20.40","172.0.3.54",54262,37
"172.30.20.40","172.0.3.54",54334,34
"172.30.20.40","172.0.3.54",54350,9
"172.30.20.40","172.0.3.54",54371,34
"172.30.20.40","172.0.3.54",54382,15
"172.30.20.40","172.0.3.54",54395,6
"172.30.20.40","172.0.3.54",54587,5
"172.30.20.40","172.0.3.54",63221,4
"172.30.20.40","172.0.3.54",63244,4
"172.30.20.40","172.0.3.54",63246,5
"172.30.20.40","172.0.5.8",123,175
